,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,የመድሃኒት ምላሽ,መበሳጨት ማቆም,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,ዕፅ መውሰድ አቁም,መከታተል
1,ወባ,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,ዘይት ምግብን ያስወግዱ,ዘይት ምግብን ያስወግዱ,ትንኞች እንዳይወጡ ያድርጉ
2,አለርጂ,ካላሚን ይተግብሩ,የሽፋን ቦታ በፋሻ,rt,ማሳከክን ለመጭመቅ በረዶ ይጠቀሙ
3,ሃይፖታይሮዲዝም,ጭንቀትን ይቀንሱ,የአካል ብቃት እንቅስቃሴ ማድረግ,ጤናማ መብላት,ትክክለኛ እንቅልፍ ያግኙ
4,Psoriasis,እጅን በሞቀ የሳሙና ውሃ ይታጠቡ,ግፊትን በመጠቀም የደም መፍሰስን ያቁሙ,ሐኪም ያማክሩ,የጨው መታጠቢያዎች
5,GERD,የሰባ ቅመም ምግቦችን ያስወግዱ,ከተመገቡ በኋላ ከመተኛት ይቆጠቡ,ጤናማ ክብደትን መጠበቅ,የአካል ብቃት እንቅስቃሴ ማድረግ
6,ሥር የሰደደ ኮሌስትሮል,ቀዝቃዛ መታጠቢያዎች,ፀረ-ማሳከክ መድሃኒት,ሐኪም ያማክሩ,ጤናማ መብላት
7,ሄፓታይተስ ኤ,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,እጅን መታጠብ,የሰባ ቅመም ምግቦችን ያስወግዱ,መድሃኒት
8,የአርትሮሲስ በሽታ,አሴታሚኖፌን,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,መከታተል,የጨው መታጠቢያዎች
9,(vertigo) Paroymsal  Positional Vertigo,ተኛ,በሰውነት ውስጥ ድንገተኛ ለውጦችን ያስወግዱ,ድንገተኛ የጭንቅላት እንቅስቃሴን ያስወግዱ,ዘና በል
10,ሃይፖግላይሴሚያ,ተኛ on side,በ pulse ውስጥ ያረጋግጡ,ጣፋጭ መጠጦችን ይጠጡ,ሐኪም ያማክሩ
11,ብጉር,ሁለት ጊዜ መታጠብ,የሰባ ቅመም ምግቦችን ያስወግዱ,ብዙ ውሃ ይጠጡ,ብዙ ውሃ ይጠጡ
12,የስኳር በሽታ,የተመጣጠነ አመጋገብ ይኑርዎት,የአካል ብቃት እንቅስቃሴ ማድረግ,ሐኪም ያማክሩ,መከታተል
13,ኢምፔቲጎ,የተጎዳውን ቦታ በሞቀ ውሃ ውስጥ ያጠቡ,አንቲባዮቲኮችን ይጠቀሙ,አንቲባዮቲኮችን ይጠቀሙ,ሐኪም ያማክሩ
14,የደም ግፊት,ማሰላሰል,የጨው መታጠቢያዎች,ጭንቀትን ይቀንሱ,ትክክለኛ እንቅልፍ ያግኙ
15,የፔፕቲክ ቁስለት በሽታ,የሰባ ቅመም ምግቦችን ያስወግዱ,ፕሮቢዮቲክ ምግብን መጠቀም,ወተት ማስወገድ,አልኮልን መገደብ
16,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሰባ ቅመም ምግቦችን ያስወግዱ,ጠንቋይ ሀዘልን መብላት, ሙቅ መታጠቢያ በ epsom ጨው,የአልቬራ ጭማቂን መብላት
17,የጋራ ቅዝቃዜ,በቫይታሚን ሲ የበለፀጉ መጠጦችን ይጠጡ,እንፋሎት ይውሰዱ,ቀዝቃዛ ምግብን ያስወግዱ,ትኩሳትን መቆጣጠር
18,የዶሮ ፐክስ,በመታጠብ ላይ ኔሚን ይጠቀሙ,የኒም ቅጠሎችን ይበላሉ,ክትባት መውሰድ,የህዝብ ቦታዎችን ያስወግዱ
19,የማኅጸን ጫፍ ስፖንዶሎሲስ,የማሞቂያ ፓድ ወይም ቀዝቃዛ ጥቅል ይጠቀሙ,የአካል ብቃት እንቅስቃሴ ማድረግ,የ otc ህመም ማስታገሻ ይውሰዱ,ሐኪም ያማክሩ
20,ሃይፐርታይሮዲዝም,ጤናማ መብላት,ማሸት,የሎሚ ቅባት ይጠቀሙ,ራዲዮአክቲቭ አዮዲን ሕክምናን ይውሰዱ
21,የሽንት ቧንቧ ኢንፌክሽን,ብዙ ውሃ ይጠጡ,የቫይታሚን ሲ መጠን መጨመር,ክራንቤሪ ጭማቂ ይጠጡ,ፕሮባዮቲክስ ይውሰዱ
22,የ varicose ደም መላሽ ቧንቧዎች,ተኛ ጠፍጣፋ እና እግሩን ከፍ ያድርጉት,ቅባቶችን ይጠቀሙ,የደም ሥር መጭመቅ ይጠቀሙ,ለረጅም ጊዜ አይቁሙ
23,AIDS,ክፍት መቆራረጥን ያስወግዱ,ከተቻለ ppe ይለብሱ,ሐኪም ያማክሩ,መከታተል
24,ሽባ (የአንጎል ደም መፍሰስ),ማሸት,ጤናማ መብላት,የአካል ብቃት እንቅስቃሴ ማድረግ,ሐኪም ያማክሩ
25,ታይፎይድ,ከፍተኛ የካሎሪ ይዘት ያላቸውን አትክልቶች ይመገቡ,ፀረ-ባክቴሪያ ሕክምና,ሐኪም ያማክሩ,መድሃኒት
26,ሄፓታይተስ ቢ,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,ክትባት,ጤናማ መብላት,መድሃኒት
27,የፈንገስ ኢንፌክሽን,ሁለት ጊዜ መታጠብ,በመታጠብ ውሃ ውስጥ ዲቶል ወይም ኒም ይጠቀሙ,የተበከለውን ቦታ ደረቅ ያድርጉት,ንጹህ ጨርቆችን ይጠቀሙ
28,ሄፓታይተስ ሲ,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,ክትባት,ጤናማ መብላት,መድሃኒት
29,ማይግሬን,ማሰላሰል,ጭንቀትን ይቀንሱ,በፀሐይ ውስጥ የፖሎሮይድ ብርጭቆዎችን ይጠቀሙ,ሐኪም ያማክሩ
30,ብሮንካይያል አስም,ወደ ልቅ ልብስ መቀየር,በጥልቀት ይተንፍሱ,ከመቀስቀስ ራቁ,እርዳታ ፈልጉ
31,የአልኮል ሄፓታይተስ,አልኮል መጠጣትን ማቆም,ሐኪም ያማክሩ,መድሃኒት,መከታተል
32,አገርጥቶትና,ብዙ ውሃ ይጠጡ,ወተት አሜከላ መብላት,ፍራፍሬ እና ከፍተኛ ፋይበር የበዛ ምግብ ይበሉ,መድሃኒት
33,ሄፓታይተስ ኢ,አልኮል መጠጣትን ማቆም,ማረፍ,ሐኪም ያማክሩ,መድሃኒት
34,ዴንጊ,የፓፓያ ቅጠል ጭማቂ ይጠጡ,የሰባ ቅመም ምግቦችን ያስወግዱ,ትንኞችን ያርቁ,ውሃ ማጠጣት
35,ሄፓታይተስ ዲ,ሐኪም ያማክሩ,መድሃኒት,ጤናማ መብላት,መከታተል
36,የልብ ድካም,አምቡላንስ ይደውሉ,አስፕሪን ማኘክ ወይም መዋጥ,ተረጋጋ,ዉሃ ተታ
37,የሳንባ ምች,ሐኪም ያማክሩ,መድሃኒት,ማረፍ,መከታተል
38,አርትራይተስ,የአካል ብቃት እንቅስቃሴ ማድረግ,ሙቅ እና ቀዝቃዛ ህክምናን ይጠቀሙ,አኩፓንቸር ይሞክሩ,ማሸት
39,የጨጓራ እጢ (gastroenteritis).,ጠንካራ ምግብን ለተወሰነ ጊዜ ማቆም,ትንሽ ትንሽ ውሃ ለመውሰድ ይሞክሩ,ማረፍ,ወደ መብላት ይመለሱ
40,የሳንባ ነቀርሳ በሽታ,ሽፋን አፍ,ሐኪም ያማክሩ,መድሃኒት,ማረፍ